Name	z	Type	Mass	Mass_e	SFR	SFR_e	Sigma_M	Sigma_Merr	Sigma_SFR	SigmaSFR_err	r50_kpc	R50_err
PTF12jje	0.042	II	10.01	0.12	0.27	0.16	7.89	0.12	-1.84	0.16	5.37	0.08
PTF12ne		0.033	II	9.91	0.13	-0.06	0.17	8.62	0.13	-1.35	0.17	1.82	0.02
PTF13bvn	0.004	Ib	11.10	0.03	1.00	0.07	9.66	0.03	-0.44	0.07	2.68	0.02
PTF13c		0.011	II	9.04	0.04	-0.70	0.07	8.00	0.04	-1.74	0.07	1.56	0.01
PTF13cab	0.030	Ib	9.32	0.30	-0.28	0.37	7.72	0.30	-1.88	0.37	4.39	0.06
PTF13cac	0.030	II	8.91	0.31	-0.87	0.37	7.38	0.31	-2.40	0.37	3.97	0.13
PTF13cbf	0.039	Ic	9.40	0.03	-0.00	0.07	7.72	0.03	-1.68	0.07	5.78	0.06
PTF13d		0.024	II	10.25	0.04	0.60	0.07	8.07	0.04	-1.58	0.07	6.27	0.02
SN1999ap	0.040	II	9.35	0.12	-0.04	0.18	7.33	0.12	-2.06	0.18	5.25	0.10
SN1999bc	0.021	Ic	10.46	0.04	0.62	0.08	8.18	0.04	-1.66	0.08	6.74	0.03
SN1999bd	0.151	II	9.66	0.09	0.07	0.16	8.58	0.09	-1.01	0.16	2.86	0.28
SN2001bk	0.043	II	8.82	0.13	-0.79	0.19	7.58	0.13	-2.02	0.19	3.13	0.15
SN2001fb	0.032	II	9.95	0.03	0.60	0.07	8.53	0.03	-0.82	0.07	3.46	0.02
SN2001ij	0.038	IIP	10.20	0.03	0.40	0.07	8.22	0.03	-1.59	0.07	5.55	0.04
SN2002dg	0.047	Ib	9.10	0.11	0.06	0.16	7.10	0.11	-1.94	0.16	4.31	0.07
SN2002ew	0.030	II	9.36	0.04	-0.08	0.11	7.95	0.04	-1.49	0.11	2.76	0.02
SN2002fa	0.060	II	10.12	0.09	0.59	0.20	7.43	0.09	-2.10	0.20	9.16	0.11
SN2002fu	0.091	II	9.86	0.07	0.25	0.14	7.90	0.07	-1.72	0.14	9.06	0.21
SN2002hj	0.024	II	9.60	0.20	-0.02	0.26	7.75	0.20	-1.87	0.26	4.04	0.05
SN2002ik	0.032	IIP	10.55	0.03	0.70	0.07	8.52	0.03	-1.33	0.07	5.92	0.03
SN2002in	0.076	II	9.11	0.09	-0.48	0.19	7.64	0.09	-1.96	0.19	4.15	0.33
SN2002ip	0.079	II	8.90	0.10	-0.61	0.19	6.76	0.10	-2.75	0.19	5.55	0.80
SN2002iq	0.056	II	9.38	0.06	0.13	0.14	7.81	0.06	-1.44	0.14	3.98	0.18
SN2002jl	0.064	II	8.01	0.23	-1.23	0.22	7.30	0.23	-1.93	0.22	1.37	0.33
SN2003cv	0.028	IIpec	8.31	0.20	-0.96	0.27	7.40	0.20	-1.86	0.27	1.90	0.05
SN2003dq	0.046	II	9.01	0.12	-0.43	0.16	7.59	0.12	-1.85	0.16	2.95	0.12
SN2003kj	0.100	II	8.77	0.18	-0.79	0.18	7.14	0.18	-2.43	0.18	3.04	0.78
SN2004cm	0.004	IIP	9.65	0.03	0.00	0.07	8.51	0.03	-1.14	0.07	1.75	0.01
SN2004gy	0.027	II	8.26	0.20	-1.02	0.26	7.44	0.20	-1.83	0.26	1.63	0.05
SN2004ht	0.067	II	10.30	0.07	0.60	0.09	7.97	0.07	-1.72	0.09	7.58	0.09
SN2004hv	0.061	II	8.82	0.13	-0.70	0.19	6.90	0.13	-2.62	0.19	5.27	0.98
SN2004hx	0.014	II	8.69	0.31	-1.11	0.35	7.72	0.31	-2.08	0.35	1.63	0.02
SN2004ic	0.093	II	10.92	0.06	1.03	0.08	7.80	0.06	-2.09	0.08	15.04	0.30
SN2005bn	0.028	II	9.14	0.20	-0.44	0.28	8.30	0.20	-1.28	0.28	1.38	0.01
SN2005fq	0.140	II	8.83	0.14	-0.54	0.18	7.46	0.14	-1.91	0.18	3.35	1.08
SN2005gi	0.050	II	9.12	0.14	-0.39	0.16	7.10	0.14	-2.41	0.16	4.74	0.26
SN2005hl	0.020	Ib	10.40	0.04	0.40	0.07	8.91	0.04	-1.09	0.07	2.94	0.01
SN2005hm	0.030	Ib	8.61	0.30	-1.53	0.34	8.28	0.30	-1.87	0.34	0.94	0.19
SN2005kb	0.015	II	9.35	0.31	-0.43	0.39	8.19	0.31	-1.59	0.39	4.32	0.05
SN2005kr	0.130	Ic-BL	8.63	0.16	-0.62	0.20	8.36	0.16	-0.88	0.20	0.57	0.30
SN2005ks	0.100	Ic-BL	9.88	0.08	0.27	0.14	8.44	0.08	-1.17	0.14	3.70	0.08
SN2005lb	0.030	II	8.75	0.30	-0.94	0.32	7.47	0.30	-2.22	0.32	3.95	0.37
SN2005lc	0.010	II	8.21	0.33	-1.34	0.39	7.41	0.33	-2.13	0.39	1.32	0.06
SN2005lm	0.080	II	9.23	0.08	-0.24	0.16	8.01	0.08	-1.46	0.16	1.83	0.07
SN2005mk	0.150	II	9.44	0.09	-0.16	0.17	7.50	0.09	-2.09	0.17	4.13	0.64
SN2005mn	0.050	Ib	9.61	0.16	0.17	0.22	7.46	0.16	-1.97	0.22	11.24	0.26
SN2006L		0.039	IIn	8.28	0.16	-1.19	0.19	7.63	0.16	-1.84	0.19	1.18	0.08
SN2006M		0.015	IIn	9.05	0.03	-0.42	0.08	7.73	0.03	-1.74	0.08	1.93	0.01
SN2006ad	0.030	II	8.97	0.05	-1.27	0.10	11.66	0.05	1.42	0.10	0.02	0.02
SN2006ag	0.035	IIn	8.05	0.16	-0.63	0.18	6.91	0.16	-1.77	0.18	1.74	0.08
SN2006aj	0.033	Ic-BL	8.08	0.17	-1.31	0.25	8.01	0.17	-1.38	0.25	0.46	0.10
SN2006bj	0.038	II	9.38	0.15	-0.08	0.19	7.32	0.15	-2.15	0.19	4.80	0.07
SN2006cu	0.029	IIn	10.15	0.03	0.50	0.07	7.79	0.03	-1.86	0.07	7.15	0.02
